id,name,aisle,department,price
,Chocolate Sandwich Cookies,cookies cakes,snacks,3.5
,All-Seasons Salt,spices seasonings,pantry,4.99
,Robust Golden Unsweetened Oolong Tea,tea,beverages,2.49
,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,frozen meals,frozen,6.99
,Green Chile Anytime Sauce,marinades meat preparation,pantry,7.99
,Dry Nose Oil,cold flu allergy,personal care,21.99
,Pure Coconut Water With Orange,juice nectars,beverages,3.5
,Cut Russet Potatoes Steam N' Mash,frozen produce,frozen,4.25
,Light Strawberry Blueberry Yogurt,yogurt,dairy eggs,6.5
,Sparkling Orange Juice & Prickly Pear Beverage,water seltzer sparkling water,beverages,2.99
,Peach Mango Juice,refrigerated,beverages,1.99
,Chocolate Fudge Layer Cake,frozen dessert,frozen,18.5
,Saline Nasal Mist,cold flu allergy,personal care,16
,Fresh Scent Dishwasher Cleaner,dish detergents,household,4.99
,Overnight Diapers Size 6,diapers wipes,babies,25.5
,Mint Chocolate Flavored Syrup,ice cream toppings,snacks,4.5
,Rendered Duck Fat,poultry counter,meat seafood,9.99
,Pizza for One Suprema Frozen Pizza,frozen pizza,frozen,12.5
,Gluten Free Quinoa Three Cheese & Mushroom Blend,grains rice dried goods,dry goods pasta,3.99
,Pomegranate Cranberry & Aloe Vera Enrich Drink,juice nectars,beverages,4.25
